Email,Etiqueta
"Gana dinero rápido, haz clic aquí",1
Reunión mañana a las 10,0
"¡Oferta especial, compre ahora!",1
Recordatorio: entrega el informe,0
"¡Ganaste un premio, reclama ahora!",1
"Hola, ¿puedes ayudarme con el proyecto?",0
"Compra barata, enlace exclusivo",1
Invitación a la fiesta del viernes,0
"Dinero gratis, regístrate hoy",1
Envío de reporte semanal,0
"Promoción increíble, únete",1
Llamada de equipo mañana,0
"Gana dinero rápido, haz clic aquí",1
Reunión mañana a las 10,0
"¡Oferta especial, compre ahora!",1
Recordatorio: entrega el informe,0
"¡Ganaste un premio, reclama ahora!",1
"Hola, ¿puedes ayudarme con el proyecto?",0
"Compra barata, enlace exclusivo",1
Invitación a la fiesta del viernes,0
"Dinero gratis, regístrate hoy",1
Envío de reporte semanal,0
"Promoción increíble, únete",1
Llamada de equipo mañana,0
"Gana dinero rápido, haz clic aquí",1
Reunión mañana a las 10,0
"¡Oferta especial, compre ahora!",1
Recordatorio: entrega el informe,0
"¡Ganaste un premio, reclama ahora!",1
"Hola, ¿puedes ayudarme con el proyecto?",0
"Compra barata, enlace exclusivo",1
Invitación a la fiesta del viernes,0
"Dinero gratis, regístrate hoy",1
Envío de reporte semanal,0
"Promoción increíble, únete",1
Llamada de equipo mañana,0
"Gana dinero rápido, haz clic aquí",1
Reunión mañana a las 10,0
"¡Oferta especial, compre ahora!",1
Recordatorio: entrega el informe,0
"¡Ganaste un premio, reclama ahora!",1
"Hola, ¿puedes ayudarme con el proyecto?",0
"Compra barata, enlace exclusivo",1
Invitación a la fiesta del viernes,0
"Dinero gratis, regístrate hoy",1
Envío de reporte semanal,0
"Promoción increíble, únete",1
Llamada de equipo mañana,0
"Gana dinero rápido, haz clic aquí",1
Reunión mañana a las 10,0
"¡Oferta especial, compre ahora!",1
Recordatorio: entrega el informe,0
"¡Ganaste un premio, reclama ahora!",1
"Hola, ¿puedes ayudarme con el proyecto?",0
"Compra barata, enlace exclusivo",1
Invitación a la fiesta del viernes,0
"Dinero gratis, regístrate hoy",1
Envío de reporte semanal,0
"Promoción increíble, únete",1
Llamada de equipo mañana,0
